,Suggested Short Name,High Time Step 1 (431) Rules,Time Step 2 (432) Rules,Time Step 3 (433) Rules,FB_0029_FCCS,FB_0029_FCCS_431,FB_0029_FCCS_432,FB_0029_FCCS_433,FB_0046_FCCS,FB_0046_FCCS_431,FB_0046_FCCS_432,FB_0046_FCCS_433,FB_0066_FCCS,FB_0066_FCCS_431,FB_0066_FCCS_432,FB_0066_FCCS_433,FB_0087_FCCS,FB_0087_FCCS_431,FB_0087_FCCS_432,FB_0087_FCCS_433,FB_0109_FCCS,FB_0109_FCCS_431,FB_0109_FCCS_432,FB_0109_FCCS_433,FB_0291_FCCS,FB_0291_FCCS_431,FB_0291_FCCS_432,FB_0291_FCCS_433
eCANOPY_TREES_MIDSTORY_STEM_DENSITY,MTree_Density,0.25,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,150,37.5,37.5,37.5,,0,0,0
eCANOPY_TREES_UNDERSTORY_DIAMETER_AT_BREAST_HEIGHT,UTree_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,0.5,0.5,0.5,0.5,1.7,1.7,1.7,1.7,1,1,1,1
eCANOPY_TREES_UNDERSTORY_HEIGHT_TO_LIVE_CROWN,UTree_HeightLiveCrown,,,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
eCANOPY_TREES_UNDERSTORY_HEIGHT,UTree_Height,,,,,0,0,0,,0,0,0,,0,0,0,1.5,1.5,1.5,1.5,10,10,10,10,5,5,5,5
eCANOPY_TREES_UNDERSTORY_PERCENT_COVER,UTree_Cover,,,,,0,0,0,,0,0,0,,0,0,0,3,3,3,3,30,30,30,30,5,5,5,5
eCANOPY_TREES_UNDERSTORY_STEM_DENSITY,UTree_Density,,,,,0,0,0,,0,0,0,,0,0,0,1000,1000,1000,1000,1000,1000,1000,1000,25,25,25,25
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_DIAMETER,C1Snag_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,3.5,3.5,3.5,3.5,13,13,13,13,,0,0,0
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_HEIGHT,C1Snag_Height,,,,,0,0,0,,0,0,0,,0,0,0,25,25,25,25,55,55,55,55,,0,0,0
eCANOPY_SNAGS_CLASS_1_ALL_OTHERS_STEM_DENSITY,C1Snag_Density,0.25,,,,0,0,0,,0,0,0,,0,0,0,100,25,25,25,5,1.25,1.25,1.25,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_HEIGHT_TO_CROWN_BASE,C1FSnag_HeightCrownBase,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,33.35,33.35,33.35,33.35,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_DIAMETER,C1FSnag_Diameter,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,9,9,9,9,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_HEIGHT,C1FSnag_Height,,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,50,50,50,50,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_PERCENT_COVER,C1FSnag_Cover,0.25,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0.5071,0.126775,0.126775,0.126775,,0,0,0
eCANOPY_SNAGS_CLASS_1_CONIFERS_WITH_FOLIAGE_STEM_DENSITY,C1FSnag_Density,0.25,,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,5,1.25,1.25,1.25,,0,0,0
